"binding","objOfProp","label"
"http://dbpedia.org/resource/Ace_Trucking_Co.","http://dbpedia.org/resource/John_Wagner","John Wagner"
"http://dbpedia.org/resource/Strontium_Dog","http://dbpedia.org/resource/John_Wagner","John Wagner"
"http://dbpedia.org/resource/The_Colbert_Report","http://dbpedia.org/resource/Jon_Stewart","Jon Stewart"
"http://dbpedia.org/resource/The_Johnny_and_Inel_Show","http://dbpedia.org/resource/Johnny_Cochrane","Johnny Cochrane"
"http://dbpedia.org/resource/The_Jon_Stewart_Show","http://dbpedia.org/resource/Jon_Stewart","Jon Stewart"
"http://dbpedia.org/resource/Mythos_(film)","http://dbpedia.org/resource/Joseph_Campbell","Henry Morton Robinson"
"http://dbpedia.org/resource/Mythos_(film)","http://dbpedia.org/resource/Joseph_Campbell","Joseph Campbell"
"http://dbpedia.org/resource/The_Nightly_Show_with_Larry_Wilmore","http://dbpedia.org/resource/Jon_Stewart","Jon Stewart"
"http://dbpedia.org/resource/Alex_Delaware","http://dbpedia.org/resource/Jonathan_Kellerman","Jonathan Kellerman"
"http://dbpedia.org/resource/Presidio_Med","http://dbpedia.org/resource/John_Wells_(filmmaker)","John Wells (produttore)"
"http://dbpedia.org/resource/Daddy's_Girls_(2009_TV_series)","http://dbpedia.org/resource/Joseph_Simmons","Joseph Simmons"
"http://dbpedia.org/resource/The_Mechanism_(TV_series)","http://dbpedia.org/resource/José_Padilha","José Padilha"
"http://dbpedia.org/resource/Everything's_Gonna_Be_Okay","http://dbpedia.org/resource/Josh_Thomas_(comedian)","Josh Thomas (comico)"
"http://dbpedia.org/resource/Durham_Red","http://dbpedia.org/resource/John_Wagner","John Wagner"
"http://dbpedia.org/resource/Jonas_Brothers:_Living_the_Dream","http://dbpedia.org/resource/Jonas_Brothers","Jonas Brothers"
"http://dbpedia.org/resource/HitRecord_on_TV","http://dbpedia.org/resource/Joseph_Gordon-Levitt","Joseph Gordon-Levitt"
"http://dbpedia.org/resource/Third_Watch","http://dbpedia.org/resource/John_Wells_(filmmaker)","John Wells (produttore)"
"http://dbpedia.org/resource/Game_Grumps","http://dbpedia.org/resource/JonTron","Jontron"
"http://dbpedia.org/resource/Gimme_Gimme_Gimme_(TV_series)","http://dbpedia.org/resource/Jonathan_Harvey_(playwright)","Jonathan Harvey"
"http://dbpedia.org/resource/Jackass_(franchise)","http://dbpedia.org/resource/Johnny_Knoxville","Johnny Knoxville"
"http://dbpedia.org/resource/Nitro_Circus_Live","http://dbpedia.org/resource/Johnny_Knoxville","Johnny Knoxville"
"http://dbpedia.org/resource/Judge_Anderson","http://dbpedia.org/resource/John_Wagner","John Wagner"
"http://dbpedia.org/resource/Raising_Dad","http://dbpedia.org/resource/Jonathan_Katz","Jonathan Katz"
"http://dbpedia.org/resource/The_New_Adventures_of_Zorro_(1981_TV_series)","http://dbpedia.org/resource/Johnston_McCulley","Johnston McCulley"
"http://dbpedia.org/resource/Please_Like_Me","http://dbpedia.org/resource/Josh_Thomas_(comedian)","Josh Thomas (comico)"
"http://dbpedia.org/resource/Simba","http://dbpedia.org/resource/Jonathan_Roberts_(writer)","Jonathan Roberts"
"http://dbpedia.org/resource/Smith_(TV_series)","http://dbpedia.org/resource/John_Wells_(filmmaker)","John Wells (produttore)"
"http://dbpedia.org/resource/Dr._Katz,_Professional_Therapist","http://dbpedia.org/resource/Jonathan_Katz","Jonathan Katz"
